Test NFA, number of states = 15 propogating length = 225
experiment No = 2345, UNSAT, testing length = 225
experiment No = 2346, UNSAT, testing length = 225
experiment No = 2347, UNSAT, testing length = 225
experiment No = 2348, UNSAT, testing length = 225
experiment No = 2349, UNSAT, testing length = 225
experiment No = 2350, UNSAT, testing length = 225
experiment No = 2351, UNSAT, testing length = 225
experiment No = 2352, UNSAT, testing length = 225
experiment No = 2353, UNSAT, testing length = 225
experiment No = 2354, UNSAT, testing length = 225
experiment No = 2355, UNSAT, testing length = 225
experiment No = 2356, UNSAT, testing length = 225
experiment No = 2357, UNSAT, testing length = 225
experiment No = 2358, UNSAT, testing length = 225
experiment No = 2359, UNSAT, testing length = 225
experiment No = 2360, UNSAT, testing length = 225
experiment No = 2361, UNSAT, testing length = 225
experiment No = 2362, UNSAT, testing length = 225
experiment No = 2363, UNSAT, testing length = 225
experiment No = 2364, UNSAT, testing length = 225
experiment No = 2365, UNSAT, testing length = 225
experiment No = 2366, UNSAT, testing length = 225
experiment No = 2367, UNSAT, testing length = 225
experiment No = 2368, UNSAT, testing length = 225
experiment No = 2369, UNSAT, testing length = 225
experiment No = 2370, UNSAT, testing length = 225
experiment No = 2371, UNSAT, testing length = 225
experiment No = 2372, UNSAT, testing length = 225
experiment No = 2373, UNSAT, testing length = 225
experiment No = 2374, UNSAT, testing length = 225
experiment No = 2375, UNSAT, testing length = 225
experiment No = 2376, UNSAT, testing length = 225
experiment No = 2377, UNSAT, testing length = 225
experiment No = 2378, UNSAT, testing length = 225
experiment No = 2379, UNSAT, testing length = 225
experiment No = 2380, UNSAT, testing length = 225
experiment No = 2381, UNSAT, testing length = 225
experiment No = 2382, UNSAT, testing length = 225
experiment No = 2383, UNSAT, testing length = 225
experiment No = 2384, UNSAT, testing length = 225
experiment No = 2385, UNSAT, testing length = 225
experiment No = 2386, UNSAT, testing length = 225
experiment No = 2387, UNSAT, testing length = 225
experiment No = 2388, UNSAT, testing length = 225
experiment No = 2389, UNSAT, testing length = 225
experiment No = 2390, UNSAT, testing length = 225
experiment No = 2391, UNSAT, testing length = 225
experiment No = 2392, UNSAT, testing length = 225
experiment No = 2393, UNSAT, testing length = 225
experiment No = 2394, UNSAT, testing length = 225
experiment No = 2395, UNSAT, testing length = 225
experiment No = 2396, UNSAT, testing length = 225
experiment No = 2397, UNSAT, testing length = 225
experiment No = 2398, UNSAT, testing length = 225
experiment No = 2399, UNSAT, testing length = 225
experiment No = 2400, UNSAT, testing length = 225
experiment No = 2401, UNSAT, testing length = 225
experiment No = 2402, UNSAT, testing length = 225
experiment No = 2403, UNSAT, testing length = 225
experiment No = 2404, UNSAT, testing length = 225
experiment No = 2405, UNSAT, testing length = 225
experiment No = 2406, UNSAT, testing length = 225
experiment No = 2407, UNSAT, testing length = 225
experiment No = 2408, UNSAT, testing length = 225
experiment No = 2409, UNSAT, testing length = 225
experiment No = 2410, UNSAT, testing length = 225
experiment No = 2411, UNSAT, testing length = 225
experiment No = 2412, UNSAT, testing length = 225
experiment No = 2413, UNSAT, testing length = 225
experiment No = 2414, UNSAT, testing length = 225
experiment No = 2415, UNSAT, testing length = 225
experiment No = 2416, UNSAT, testing length = 225
experiment No = 2417, UNSAT, testing length = 225
experiment No = 2418, UNSAT, testing length = 225
experiment No = 2419, UNSAT, testing length = 225
experiment No = 2420, UNSAT, testing length = 225
experiment No = 2421, UNSAT, testing length = 225
experiment No = 2422, UNSAT, testing length = 225
experiment No = 2423, UNSAT, testing length = 225
experiment No = 2424, UNSAT, testing length = 225
experiment No = 2425, UNSAT, testing length = 225
experiment No = 2426, UNSAT, testing length = 225
experiment No = 2427, UNSAT, testing length = 225
experiment No = 2428, UNSAT, testing length = 225
experiment No = 2429, UNSAT, testing length = 225
experiment No = 2430, UNSAT, testing length = 225
experiment No = 2431, UNSAT, testing length = 225
experiment No = 2432, UNSAT, testing length = 225
experiment No = 2433, UNSAT, testing length = 225
experiment No = 2434, UNSAT, testing length = 225
experiment No = 2435, UNSAT, testing length = 225
experiment No = 2436, UNSAT, testing length = 225
experiment No = 2437, UNSAT, testing length = 225
experiment No = 2438, UNSAT, testing length = 225
experiment No = 2439, UNSAT, testing length = 225
experiment No = 2440, UNSAT, testing length = 225
experiment No = 2441, UNSAT, testing length = 225
experiment No = 2442, UNSAT, testing length = 225
experiment No = 2443, UNSAT, testing length = 225
experiment No = 2444, UNSAT, testing length = 225
experiment No = 2445, UNSAT, testing length = 225
experiment No = 2446, UNSAT, testing length = 225
experiment No = 2447, UNSAT, testing length = 225
experiment No = 2448, UNSAT, testing length = 225
experiment No = 2449, UNSAT, testing length = 225
experiment No = 2450, UNSAT, testing length = 225
experiment No = 2451, UNSAT, testing length = 225
experiment No = 2452, UNSAT, testing length = 225
experiment No = 2453, UNSAT, testing length = 225
experiment No = 2454, UNSAT, testing length = 225
experiment No = 2455, UNSAT, testing length = 225
experiment No = 2456, UNSAT, testing length = 225
experiment No = 2457, UNSAT, testing length = 225
experiment No = 2458, UNSAT, testing length = 225
experiment No = 2459, UNSAT, testing length = 225
experiment No = 2460, UNSAT, testing length = 225
experiment No = 2461, UNSAT, testing length = 225
experiment No = 2462, UNSAT, testing length = 225
experiment No = 2463, UNSAT, testing length = 225
experiment No = 2464, UNSAT, testing length = 225
experiment No = 2465, UNSAT, testing length = 225
experiment No = 2466, UNSAT, testing length = 225
experiment No = 2467, UNSAT, testing length = 225
experiment No = 2468, UNSAT, testing length = 225
experiment No = 2469, UNSAT, testing length = 225
experiment No = 2470, UNSAT, testing length = 225
experiment No = 2471, UNSAT, testing length = 225
experiment No = 2472, UNSAT, testing length = 225
experiment No = 2473, UNSAT, testing length = 225
experiment No = 2474, UNSAT, testing length = 225
experiment No = 2475, UNSAT, testing length = 225
experiment No = 2476, UNSAT, testing length = 225
experiment No = 2477, UNSAT, testing length = 225
experiment No = 2478, UNSAT, testing length = 225
experiment No = 2479, UNSAT, testing length = 225
experiment No = 2480, UNSAT, testing length = 225
experiment No = 2481, UNSAT, testing length = 225
experiment No = 2482, UNSAT, testing length = 225
experiment No = 2483, UNSAT, testing length = 225
experiment No = 2484, UNSAT, testing length = 225
experiment No = 2485, UNSAT, testing length = 225
experiment No = 2486, UNSAT, testing length = 225
experiment No = 2487, UNSAT, testing length = 225
experiment No = 2488, UNSAT, testing length = 225
experiment No = 2489, UNSAT, testing length = 225
experiment No = 2490, UNSAT, testing length = 225
experiment No = 2491, UNSAT, testing length = 225
experiment No = 2492, UNSAT, testing length = 225
experiment No = 2493, UNSAT, testing length = 225
experiment No = 2494, UNSAT, testing length = 225
experiment No = 2495, UNSAT, testing length = 225
experiment No = 2496, UNSAT, testing length = 225
experiment No = 2497, UNSAT, testing length = 225
experiment No = 2498, UNSAT, testing length = 225
experiment No = 2499, UNSAT, testing length = 225
experiment No = 2500, UNSAT, testing length = 225
experiment No = 2501, UNSAT, testing length = 225
experiment No = 2502, UNSAT, testing length = 225
experiment No = 2503, UNSAT, testing length = 225
experiment No = 2504, UNSAT, testing length = 225
experiment No = 2505, UNSAT, testing length = 225
experiment No = 2506, UNSAT, testing length = 225
experiment No = 2507, UNSAT, testing length = 225
experiment No = 2508, UNSAT, testing length = 225
experiment No = 2509, UNSAT, testing length = 225
experiment No = 2510, UNSAT, testing length = 225
experiment No = 2511, UNSAT, testing length = 225
experiment No = 2512, UNSAT, testing length = 225
experiment No = 2513, UNSAT, testing length = 225
experiment No = 2514, UNSAT, testing length = 225
experiment No = 2515, UNSAT, testing length = 225
experiment No = 2516, UNSAT, testing length = 225
experiment No = 2517, UNSAT, testing length = 225
experiment No = 2518, UNSAT, testing length = 225
experiment No = 2519, UNSAT, testing length = 225
experiment No = 2520, UNSAT, testing length = 225
experiment No = 2521, UNSAT, testing length = 225
experiment No = 2522, UNSAT, testing length = 225
experiment No = 2523, UNSAT, testing length = 225
experiment No = 2524, UNSAT, testing length = 225
experiment No = 2525, UNSAT, testing length = 225
experiment No = 2526, UNSAT, testing length = 225
experiment No = 2527, UNSAT, testing length = 225
experiment No = 2528, UNSAT, testing length = 225
experiment No = 2529, UNSAT, testing length = 225
experiment No = 2530, UNSAT, testing length = 225
experiment No = 2531, UNSAT, testing length = 225
experiment No = 2532, UNSAT, testing length = 225
experiment No = 2533, UNSAT, testing length = 225
experiment No = 2534, UNSAT, testing length = 225
experiment No = 2535, UNSAT, testing length = 225
experiment No = 2536, UNSAT, testing length = 225
experiment No = 2537, UNSAT, testing length = 225
experiment No = 2538, UNSAT, testing length = 225
experiment No = 2539, UNSAT, testing length = 225
experiment No = 2540, UNSAT, testing length = 225
experiment No = 2541, UNSAT, testing length = 225
experiment No = 2542, UNSAT, testing length = 225
experiment No = 2543, UNSAT, testing length = 225
experiment No = 2544, UNSAT, testing length = 225
experiment No = 2545, UNSAT, testing length = 225
experiment No = 2546, UNSAT, testing length = 225
experiment No = 2547, UNSAT, testing length = 225
experiment No = 2548, UNSAT, testing length = 225
experiment No = 2549, UNSAT, testing length = 225
experiment No = 2550, UNSAT, testing length = 225
experiment No = 2551, UNSAT, testing length = 225
experiment No = 2552, UNSAT, testing length = 225
experiment No = 2553, UNSAT, testing length = 225
experiment No = 2554, UNSAT, testing length = 225
experiment No = 2555, UNSAT, testing length = 225
experiment No = 2556, UNSAT, testing length = 225
experiment No = 2557, UNSAT, testing length = 225
experiment No = 2558, UNSAT, testing length = 225
experiment No = 2559, UNSAT, testing length = 225
experiment No = 2560, UNSAT, testing length = 225
experiment No = 2561, UNSAT, testing length = 225
experiment No = 2562, UNSAT, testing length = 225
experiment No = 2563, UNSAT, testing length = 225
experiment No = 2564, UNSAT, testing length = 225
experiment No = 2565, UNSAT, testing length = 225
experiment No = 2566, UNSAT, testing length = 225
experiment No = 2567, UNSAT, testing length = 225
experiment No = 2568, UNSAT, testing length = 225
experiment No = 2569, UNSAT, testing length = 225
experiment No = 2570, UNSAT, testing length = 225
experiment No = 2571, UNSAT, testing length = 225
experiment No = 2572, UNSAT, testing length = 225
experiment No = 2573, UNSAT, testing length = 225
experiment No = 2574, UNSAT, testing length = 225
experiment No = 2575, UNSAT, testing length = 225
experiment No = 2576, UNSAT, testing length = 225
experiment No = 2577, UNSAT, testing length = 225
experiment No = 2578, UNSAT, testing length = 225
experiment No = 2579, UNSAT, testing length = 225
experiment No = 2580, UNSAT, testing length = 225
experiment No = 2581, UNSAT, testing length = 225
experiment No = 2582, UNSAT, testing length = 225
experiment No = 2583, UNSAT, testing length = 225
experiment No = 2584, UNSAT, testing length = 225
experiment No = 2585, UNSAT, testing length = 225
experiment No = 2586, UNSAT, testing length = 225
experiment No = 2587, UNSAT, testing length = 225
experiment No = 2588, UNSAT, testing length = 225
experiment No = 2589, UNSAT, testing length = 225
experiment No = 2590, UNSAT, testing length = 225
experiment No = 2591, UNSAT, testing length = 225
experiment No = 2592, UNSAT, testing length = 225
experiment No = 2593, UNSAT, testing length = 225
experiment No = 2594, UNSAT, testing length = 225
experiment No = 2595, UNSAT, testing length = 225
experiment No = 2596, UNSAT, testing length = 225
experiment No = 2597, UNSAT, testing length = 225
experiment No = 2598, UNSAT, testing length = 225
experiment No = 2599, UNSAT, testing length = 225
experiment No = 2600, UNSAT, testing length = 225
experiment No = 2601, UNSAT, testing length = 225
experiment No = 2602, UNSAT, testing length = 225
experiment No = 2603, UNSAT, testing length = 225
experiment No = 2604, UNSAT, testing length = 225
experiment No = 2605, UNSAT, testing length = 225
experiment No = 2606, UNSAT, testing length = 225
experiment No = 2607, UNSAT, testing length = 225
experiment No = 2608, UNSAT, testing length = 225
experiment No = 2609, UNSAT, testing length = 225
experiment No = 2610, UNSAT, testing length = 225
experiment No = 2611, UNSAT, testing length = 225
experiment No = 2612, UNSAT, testing length = 225
experiment No = 2613, UNSAT, testing length = 225
experiment No = 2614, UNSAT, testing length = 225
experiment No = 2615, UNSAT, testing length = 225
experiment No = 2616, UNSAT, testing length = 225
experiment No = 2617, UNSAT, testing length = 225
experiment No = 2618, UNSAT, testing length = 225
experiment No = 2619, UNSAT, testing length = 225
experiment No = 2620, UNSAT, testing length = 225
experiment No = 2621, UNSAT, testing length = 225
experiment No = 2622, UNSAT, testing length = 225
experiment No = 2623, UNSAT, testing length = 225
experiment No = 2624, UNSAT, testing length = 225
experiment No = 2625, UNSAT, testing length = 225
experiment No = 2626, UNSAT, testing length = 225
experiment No = 2627, UNSAT, testing length = 225
experiment No = 2628, UNSAT, testing length = 225
experiment No = 2629, UNSAT, testing length = 225
experiment No = 2630, UNSAT, testing length = 225
experiment No = 2631, UNSAT, testing length = 225
experiment No = 2632, UNSAT, testing length = 225
experiment No = 2633, UNSAT, testing length = 225
experiment No = 2634, UNSAT, testing length = 225
experiment No = 2635, UNSAT, testing length = 225
experiment No = 2636, UNSAT, testing length = 225
experiment No = 2637, UNSAT, testing length = 225
experiment No = 2638, UNSAT, testing length = 225
experiment No = 2639, UNSAT, testing length = 225
experiment No = 2640, UNSAT, testing length = 225
experiment No = 2641, UNSAT, testing length = 225
experiment No = 2642, UNSAT, testing length = 225
experiment No = 2643, UNSAT, testing length = 225
experiment No = 2644, UNSAT, testing length = 225
experiment No = 2645, UNSAT, testing length = 225
experiment No = 2646, UNSAT, testing length = 225
experiment No = 2647, UNSAT, testing length = 225
experiment No = 2648, UNSAT, testing length = 225
experiment No = 2649, UNSAT, testing length = 225
experiment No = 2650, UNSAT, testing length = 225
experiment No = 2651, UNSAT, testing length = 225
experiment No = 2652, UNSAT, testing length = 225
experiment No = 2653, UNSAT, testing length = 225
experiment No = 2654, UNSAT, testing length = 225
experiment No = 2655, UNSAT, testing length = 225
experiment No = 2656, UNSAT, testing length = 225
experiment No = 2657, UNSAT, testing length = 225
experiment No = 2658, UNSAT, testing length = 225
experiment No = 2659, UNSAT, testing length = 225
experiment No = 2660, UNSAT, testing length = 225
experiment No = 2661, UNSAT, testing length = 225
experiment No = 2662, UNSAT, testing length = 225
experiment No = 2663, UNSAT, testing length = 225
experiment No = 2664, UNSAT, testing length = 225
experiment No = 2665, UNSAT, testing length = 225
experiment No = 2666, UNSAT, testing length = 225
experiment No = 2667, UNSAT, testing length = 225
experiment No = 2668, UNSAT, testing length = 225
experiment No = 2669, UNSAT, testing length = 225
experiment No = 2670, UNSAT, testing length = 225
experiment No = 2671, UNSAT, testing length = 225
experiment No = 2672, UNSAT, testing length = 225
experiment No = 2673, UNSAT, testing length = 225
experiment No = 2674, UNSAT, testing length = 225
experiment No = 2675, UNSAT, testing length = 225
experiment No = 2676, UNSAT, testing length = 225
experiment No = 2677, UNSAT, testing length = 225
experiment No = 2678, UNSAT, testing length = 225
experiment No = 2679, UNSAT, testing length = 225
experiment No = 2680, UNSAT, testing length = 225
experiment No = 2681, UNSAT, testing length = 225
experiment No = 2682, UNSAT, testing length = 225
experiment No = 2683, UNSAT, testing length = 225
experiment No = 2684, UNSAT, testing length = 225
experiment No = 2685, UNSAT, testing length = 225
experiment No = 2686, UNSAT, testing length = 225
experiment No = 2687, UNSAT, testing length = 225
experiment No = 2688, UNSAT, testing length = 225
experiment No = 2689, UNSAT, testing length = 225
experiment No = 2690, UNSAT, testing length = 225
experiment No = 2691, UNSAT, testing length = 225
experiment No = 2692, UNSAT, testing length = 225
experiment No = 2693, UNSAT, testing length = 225
experiment No = 2694, UNSAT, testing length = 225
experiment No = 2695, UNSAT, testing length = 225
experiment No = 2696, UNSAT, testing length = 225
experiment No = 2697, UNSAT, testing length = 225
experiment No = 2698, UNSAT, testing length = 225
experiment No = 2699, UNSAT, testing length = 225
experiment No = 2700, UNSAT, testing length = 225
experiment No = 2701, UNSAT, testing length = 225
experiment No = 2702, UNSAT, testing length = 225
experiment No = 2703, UNSAT, testing length = 225
experiment No = 2704, UNSAT, testing length = 225
experiment No = 2705, UNSAT, testing length = 225
experiment No = 2706, UNSAT, testing length = 225
experiment No = 2707, UNSAT, testing length = 225
experiment No = 2708, UNSAT, testing length = 225
experiment No = 2709, UNSAT, testing length = 225
experiment No = 2710, UNSAT, testing length = 225
experiment No = 2711, UNSAT, testing length = 225
experiment No = 2712, UNSAT, testing length = 225
experiment No = 2713, UNSAT, testing length = 225
experiment No = 2714, UNSAT, testing length = 225
experiment No = 2715, UNSAT, testing length = 225
experiment No = 2716, UNSAT, testing length = 225
experiment No = 2717, UNSAT, testing length = 225
experiment No = 2718, UNSAT, testing length = 225
experiment No = 2719, UNSAT, testing length = 225
experiment No = 2720, UNSAT, testing length = 225
experiment No = 2721, UNSAT, testing length = 225
experiment No = 2722, UNSAT, testing length = 225
experiment No = 2723, UNSAT, testing length = 225
experiment No = 2724, UNSAT, testing length = 225
experiment No = 2725, UNSAT, testing length = 225
experiment No = 2726, UNSAT, testing length = 225
experiment No = 2727, UNSAT, testing length = 225
experiment No = 2728, UNSAT, testing length = 225
experiment No = 2729, UNSAT, testing length = 225
experiment No = 2730, UNSAT, testing length = 225
experiment No = 2731, UNSAT, testing length = 225
experiment No = 2732, UNSAT, testing length = 225
experiment No = 2733, UNSAT, testing length = 225
experiment No = 2734, UNSAT, testing length = 225
experiment No = 2735, UNSAT, testing length = 225
experiment No = 2736, UNSAT, testing length = 225
experiment No = 2737, UNSAT, testing length = 225
experiment No = 2738, UNSAT, testing length = 225
experiment No = 2739, UNSAT, testing length = 225
experiment No = 2740, UNSAT, testing length = 225
experiment No = 2741, UNSAT, testing length = 225
experiment No = 2742, UNSAT, testing length = 225
experiment No = 2743, UNSAT, testing length = 225
experiment No = 2744, UNSAT, testing length = 225
experiment No = 2745, UNSAT, testing length = 225
experiment No = 2746, UNSAT, testing length = 225
experiment No = 2747, UNSAT, testing length = 225
experiment No = 2748, UNSAT, testing length = 225
experiment No = 2749, UNSAT, testing length = 225
experiment No = 2750, UNSAT, testing length = 225
experiment No = 2751, UNSAT, testing length = 225
experiment No = 2752, UNSAT, testing length = 225
experiment No = 2753, UNSAT, testing length = 225
experiment No = 2754, UNSAT, testing length = 225
experiment No = 2755, UNSAT, testing length = 225
experiment No = 2756, UNSAT, testing length = 225
experiment No = 2757, UNSAT, testing length = 225
experiment No = 2758, UNSAT, testing length = 225
experiment No = 2759, UNSAT, testing length = 225
experiment No = 2760, UNSAT, testing length = 225
experiment No = 2761, UNSAT, testing length = 225
experiment No = 2762, UNSAT, testing length = 225
experiment No = 2763, UNSAT, testing length = 225
experiment No = 2764, UNSAT, testing length = 225
experiment No = 2765, UNSAT, testing length = 225
experiment No = 2766, SAT, shortest length = 15
experiment No = 2767, UNSAT, testing length = 225
experiment No = 2768, UNSAT, testing length = 225
experiment No = 2769, UNSAT, testing length = 225
experiment No = 2770, UNSAT, testing length = 225
experiment No = 2771, UNSAT, testing length = 225
experiment No = 2772, UNSAT, testing length = 225
experiment No = 2773, UNSAT, testing length = 225
experiment No = 2774, UNSAT, testing length = 225
experiment No = 2775, UNSAT, testing length = 225
experiment No = 2776, UNSAT, testing length = 225
experiment No = 2777, UNSAT, testing length = 225
experiment No = 2778, UNSAT, testing length = 225
experiment No = 2779, UNSAT, testing length = 225
experiment No = 2780, UNSAT, testing length = 225
experiment No = 2781, UNSAT, testing length = 225
experiment No = 2782, UNSAT, testing length = 225
experiment No = 2783, UNSAT, testing length = 225
experiment No = 2784, UNSAT, testing length = 225
experiment No = 2785, UNSAT, testing length = 225
experiment No = 2786, UNSAT, testing length = 225
experiment No = 2787, UNSAT, testing length = 225
experiment No = 2788, UNSAT, testing length = 225
experiment No = 2789, UNSAT, testing length = 225
experiment No = 2790, UNSAT, testing length = 225
experiment No = 2791, UNSAT, testing length = 225
experiment No = 2792, UNSAT, testing length = 225
experiment No = 2793, UNSAT, testing length = 225
experiment No = 2794, UNSAT, testing length = 225
experiment No = 2795, UNSAT, testing length = 225
experiment No = 2796, UNSAT, testing length = 225
experiment No = 2797, UNSAT, testing length = 225
experiment No = 2798, UNSAT, testing length = 225
experiment No = 2799, UNSAT, testing length = 225
experiment No = 2800, UNSAT, testing length = 225
experiment No = 2801, UNSAT, testing length = 225
experiment No = 2802, UNSAT, testing length = 225
experiment No = 2803, UNSAT, testing length = 225
experiment No = 2804, UNSAT, testing length = 225
experiment No = 2805, UNSAT, testing length = 225
experiment No = 2806, UNSAT, testing length = 225
experiment No = 2807, UNSAT, testing length = 225
experiment No = 2808, UNSAT, testing length = 225
experiment No = 2809, UNSAT, testing length = 225
experiment No = 2810, UNSAT, testing length = 225
experiment No = 2811, UNSAT, testing length = 225
experiment No = 2812, UNSAT, testing length = 225
experiment No = 2813, UNSAT, testing length = 225
experiment No = 2814, UNSAT, testing length = 225
experiment No = 2815, UNSAT, testing length = 225
experiment No = 2816, UNSAT, testing length = 225
experiment No = 2817, UNSAT, testing length = 225
experiment No = 2818, UNSAT, testing length = 225
experiment No = 2819, UNSAT, testing length = 225
experiment No = 2820, UNSAT, testing length = 225
experiment No = 2821, UNSAT, testing length = 225
experiment No = 2822, UNSAT, testing length = 225
experiment No = 2823, UNSAT, testing length = 225
experiment No = 2824, UNSAT, testing length = 225
experiment No = 2825, UNSAT, testing length = 225
experiment No = 2826, UNSAT, testing length = 225
experiment No = 2827, UNSAT, testing length = 225
experiment No = 2828, UNSAT, testing length = 225
experiment No = 2829, UNSAT, testing length = 225
experiment No = 2830, UNSAT, testing length = 225
experiment No = 2831, UNSAT, testing length = 225
experiment No = 2832, UNSAT, testing length = 225
experiment No = 2833, UNSAT, testing length = 225
experiment No = 2834, UNSAT, testing length = 225
experiment No = 2835, UNSAT, testing length = 225
experiment No = 2836, UNSAT, testing length = 225
experiment No = 2837, UNSAT, testing length = 225
experiment No = 2838, UNSAT, testing length = 225
experiment No = 2839, UNSAT, testing length = 225
experiment No = 2840, UNSAT, testing length = 225
experiment No = 2841, UNSAT, testing length = 225
experiment No = 2842, UNSAT, testing length = 225
experiment No = 2843, UNSAT, testing length = 225
experiment No = 2844, UNSAT, testing length = 225
experiment No = 2845, UNSAT, testing length = 225
experiment No = 2846, UNSAT, testing length = 225
experiment No = 2847, UNSAT, testing length = 225
experiment No = 2848, UNSAT, testing length = 225
experiment No = 2849, UNSAT, testing length = 225
experiment No = 2850, UNSAT, testing length = 225
experiment No = 2851, UNSAT, testing length = 225
experiment No = 2852, UNSAT, testing length = 225
experiment No = 2853, UNSAT, testing length = 225
experiment No = 2854, UNSAT, testing length = 225
experiment No = 2855, UNSAT, testing length = 225
experiment No = 2856, UNSAT, testing length = 225
experiment No = 2857, UNSAT, testing length = 225
experiment No = 2858, UNSAT, testing length = 225
experiment No = 2859, UNSAT, testing length = 225
experiment No = 2860, UNSAT, testing length = 225
experiment No = 2861, UNSAT, testing length = 225
experiment No = 2862, UNSAT, testing length = 225
experiment No = 2863, UNSAT, testing length = 225
experiment No = 2864, UNSAT, testing length = 225
experiment No = 2865, UNSAT, testing length = 225
experiment No = 2866, UNSAT, testing length = 225
experiment No = 2867, UNSAT, testing length = 225
experiment No = 2868, UNSAT, testing length = 225
experiment No = 2869, UNSAT, testing length = 225
experiment No = 2870, UNSAT, testing length = 225
experiment No = 2871, UNSAT, testing length = 225
experiment No = 2872, UNSAT, testing length = 225
experiment No = 2873, UNSAT, testing length = 225
experiment No = 2874, UNSAT, testing length = 225
experiment No = 2875, UNSAT, testing length = 225
experiment No = 2876, UNSAT, testing length = 225
experiment No = 2877, UNSAT, testing length = 225
experiment No = 2878, UNSAT, testing length = 225
experiment No = 2879, UNSAT, testing length = 225
experiment No = 2880, UNSAT, testing length = 225
experiment No = 2881, UNSAT, testing length = 225
experiment No = 2882, UNSAT, testing length = 225
experiment No = 2883, UNSAT, testing length = 225
experiment No = 2884, UNSAT, testing length = 225
experiment No = 2885, UNSAT, testing length = 225
experiment No = 2886, UNSAT, testing length = 225
experiment No = 2887, UNSAT, testing length = 225
experiment No = 2888, UNSAT, testing length = 225
experiment No = 2889, UNSAT, testing length = 225
experiment No = 2890, UNSAT, testing length = 225
experiment No = 2891, UNSAT, testing length = 225
experiment No = 2892, UNSAT, testing length = 225
experiment No = 2893, UNSAT, testing length = 225
experiment No = 2894, UNSAT, testing length = 225
experiment No = 2895, UNSAT, testing length = 225
experiment No = 2896, UNSAT, testing length = 225
experiment No = 2897, UNSAT, testing length = 225
experiment No = 2898, UNSAT, testing length = 225
experiment No = 2899, UNSAT, testing length = 225
experiment No = 2900, UNSAT, testing length = 225
experiment No = 2901, UNSAT, testing length = 225
experiment No = 2902, UNSAT, testing length = 225
experiment No = 2903, UNSAT, testing length = 225
experiment No = 2904, UNSAT, testing length = 225
experiment No = 2905, UNSAT, testing length = 225
experiment No = 2906, UNSAT, testing length = 225
experiment No = 2907, UNSAT, testing length = 225
experiment No = 2908, UNSAT, testing length = 225
experiment No = 2909, UNSAT, testing length = 225
experiment No = 2910, UNSAT, testing length = 225
experiment No = 2911, UNSAT, testing length = 225
experiment No = 2912, UNSAT, testing length = 225
experiment No = 2913, UNSAT, testing length = 225
experiment No = 2914, UNSAT, testing length = 225
experiment No = 2915, UNSAT, testing length = 225
experiment No = 2916, UNSAT, testing length = 225
experiment No = 2917, UNSAT, testing length = 225
experiment No = 2918, UNSAT, testing length = 225
experiment No = 2919, UNSAT, testing length = 225
experiment No = 2920, UNSAT, testing length = 225
experiment No = 2921, UNSAT, testing length = 225
experiment No = 2922, UNSAT, testing length = 225
experiment No = 2923, UNSAT, testing length = 225
experiment No = 2924, UNSAT, testing length = 225
experiment No = 2925, UNSAT, testing length = 225
experiment No = 2926, UNSAT, testing length = 225
experiment No = 2927, UNSAT, testing length = 225
experiment No = 2928, UNSAT, testing length = 225
experiment No = 2929, UNSAT, testing length = 225
experiment No = 2930, UNSAT, testing length = 225
experiment No = 2931, UNSAT, testing length = 225
experiment No = 2932, UNSAT, testing length = 225
experiment No = 2933, UNSAT, testing length = 225
experiment No = 2934, UNSAT, testing length = 225
experiment No = 2935, UNSAT, testing length = 225
experiment No = 2936, UNSAT, testing length = 225
experiment No = 2937, UNSAT, testing length = 225
experiment No = 2938, UNSAT, testing length = 225
experiment No = 2939, UNSAT, testing length = 225
experiment No = 2940, UNSAT, testing length = 225
experiment No = 2941, UNSAT, testing length = 225
experiment No = 2942, UNSAT, testing length = 225
experiment No = 2943, UNSAT, testing length = 225
experiment No = 2944, UNSAT, testing length = 225
experiment No = 2945, UNSAT, testing length = 225
experiment No = 2946, UNSAT, testing length = 225
experiment No = 2947, UNSAT, testing length = 225
experiment No = 2948, UNSAT, testing length = 225
experiment No = 2949, UNSAT, testing length = 225
experiment No = 2950, UNSAT, testing length = 225
experiment No = 2951, UNSAT, testing length = 225
experiment No = 2952, UNSAT, testing length = 225
experiment No = 2953, UNSAT, testing length = 225
experiment No = 2954, UNSAT, testing length = 225
experiment No = 2955, UNSAT, testing length = 225
experiment No = 2956, UNSAT, testing length = 225
experiment No = 2957, UNSAT, testing length = 225
experiment No = 2958, UNSAT, testing length = 225
experiment No = 2959, UNSAT, testing length = 225
experiment No = 2960, UNSAT, testing length = 225
experiment No = 2961, UNSAT, testing length = 225
experiment No = 2962, UNSAT, testing length = 225
experiment No = 2963, UNSAT, testing length = 225
experiment No = 2964, UNSAT, testing length = 225
experiment No = 2965, UNSAT, testing length = 225
experiment No = 2966, UNSAT, testing length = 225
experiment No = 2967, UNSAT, testing length = 225
experiment No = 2968, UNSAT, testing length = 225
experiment No = 2969, UNSAT, testing length = 225
experiment No = 2970, UNSAT, testing length = 225
experiment No = 2971, UNSAT, testing length = 225
experiment No = 2972, UNSAT, testing length = 225
experiment No = 2973, UNSAT, testing length = 225
experiment No = 2974, UNSAT, testing length = 225
experiment No = 2975, UNSAT, testing length = 225
experiment No = 2976, UNSAT, testing length = 225
experiment No = 2977, UNSAT, testing length = 225
experiment No = 2978, UNSAT, testing length = 225
experiment No = 2979, UNSAT, testing length = 225
